Zip Code,2023,2024,YoY Change,%change
91376,14,21,7,0.5
91377,1294,1629,335,0.258887172
91380,19,29,10,0.526315789
91381,2397,3108,711,0.296620776
91382,,,0,NaN
91384,1028,1282,254,0.247081712
91385,5,7,2,0.4
91386,3,5,2,0.666666667
91387,2225,2802,577,0.259325843
91390,1022,1276,254,0.24853229
91392,1,5,4,4
91393,1,2,1,1
91394,10,12,2,0.2
91395,2,,-2,-1
91396,1,3,2,2
91401,1887,2586,699,0.370429253
91402,990,1487,497,0.502020202
91403,2171,2771,600,0.276370336
91404,,2,2,NaN
91405,1869,2514,645,0.345104334
91406,1737,2345,608,0.350028785
91407,,,0,NaN
91408,2,1,-1,-0.5
91409,13,11,-2,-0.153846154
91410,,,0,NaN
91411,919,1140,221,0.240478781
91412,2,3,1,0.5
91413,19,32,13,0.684210526
91416,9,12,3,0.333333333
91423,2428,3025,597,0.245881384
91426,23,23,0,0
91436,2413,2867,454,0.188147534
91470,,,0,NaN
91501,1130,1539,409,0.361946903
91502,434,609,175,0.403225806
91503,5,7,2,0.4
91504,1403,1897,494,0.352102637
91505,1529,1927,398,0.26030085
91506,981,1218,237,0.241590214
91507,1,2,1,1
91508,2,,-2,-1
91510,16,18,2,0.125
91521,3,4,1,0.333333333
91601,1484,1934,450,0.303234501
91602,1313,1614,301,0.229246002
91603,8,5,-3,-0.375
91604,2898,3618,720,0.248447205
91605,1398,1986,588,0.420600858
91606,1284,1817,533,0.415109034
91607,1611,2108,497,0.308504035
91608,4,7,3,0.75
91609,3,3,0,0
91610,4,3,-1,-0.25
91612,,1,1,NaN
91614,7,9,2,0.285714286
91615,3,4,1,0.333333333
91616,1,1,0,0
91617,3,2,-1,-0.333333333
91701,1452,1876,424,0.292011019
91702,1475,1920,445,0.301694915
91706,1422,1867,445,0.312939522
91708,1473,2035,562,0.381534284
91709,6190,7609,1419,0.229240711
91710,3031,3844,813,0.268228307
91711,2012,2454,442,0.219681909
91714,,,0,NaN
91715,18,19,1,0.055555556
91716,,,0,NaN
91722,849,1126,277,0.326266196
91723,520,710,190,0.365384615
91724,973,1198,225,0.231243577
91729,32,33,1,0.03125
91730,2192,2846,654,0.298357664
91731,666,849,183,0.274774775
91732,1297,1699,402,0.309946029
91733,850,1136,286,0.336470588
91734,9,5,-4,-0.444444444
91737,1257,1615,358,0.284805091
91739,2711,3467,756,0.278863888
91740,828,1015,187,0.225845411
91741,1329,1641,312,0.23476298
91743,2,3,1,0.5
91744,1335,1866,531,0.397752809
91745,2764,3500,736,0.266280753
91746,567,753,186,0.328042328
91747,3,7,4,1.333333333
91748,2634,3345,711,0.269931663
91749,2,1,-1,-0.5
91750,1349,1676,327,0.242401779
91752,1288,1682,394,0.305900621
91754,1674,2060,386,0.230585424
91755,1197,1541,344,0.287385129
91756,,1,1,NaN
91759,10,13,3,0.3
91761,2455,3248,793,0.323014257
91762,1835,2387,552,0.300817439
91763,734,947,213,0.290190736
91764,856,1144,288,0.336448598
91765,3935,4845,910,0.231257942
91766,1439,1853,414,0.287699792
91767,863,1159,296,0.342989571
91768,506,675,169,0.333992095
91769,9,7,-2,-0.222222222
91770,2528,3587,1059,0.418908228
91771,,,0,NaN
91772,,1,1,NaN
91773,1467,1865,398,0.271301977
91775,1411,1797,386,0.273564848
91776,1510,1992,482,0.319205298
91778,9,11,2,0.222222222
91780,2123,2635,512,0.241168158
91784,1769,2191,422,0.238552855
91785,5,11,6,1.2
91786,1321,1737,416,0.314912945
91788,23,27,4,0.173913043
91789,3747,4620,873,0.232986389
91790,1437,1929,492,0.342379958
91791,1672,2139,467,0.27930622
91792,972,1250,278,0.28600823
91793,11,14,3,0.272727273
91799,,,0,NaN
91801,1928,2503,575,0.298236515
91802,41,37,-4,-0.097560976
91803,1204,1505,301,0.25
91804,1,1,0,0
91901,480,604,124,0.258333333
91902,730,972,242,0.331506849
91903,6,8,2,0.333333333
91905,16,26,10,0.625
91906,53,76,23,0.433962264
91908,2,7,5,2.5
91909,2,4,2,1
91910,1662,2324,662,0.398315283
91911,1203,1729,526,0.437240233
91912,14,22,8,0.571428571
91913,2899,3868,969,0.334253191
91914,1099,1425,326,0.296633303
91915,1745,2309,564,0.323209169
91916,43,48,5,0.11627907
91917,22,19,-3,-0.136363636
91921,20,18,-2,-0.1
91931,7,10,3,0.428571429
91932,343,446,103,0.300291545
91933,2,5,3,1.5
91934,12,13,1,0.083333333
91935,408,524,116,0.284313725
91941,1351,1705,354,0.262028127
91942,1001,1311,310,0.30969031
91943,3,3,0,0
91944,6,6,0,0
91945,495,678,183,0.36969697
91946,1,4,3,3
91947,,,0,NaN
91948,3,2,-1,-0.333333333
91950,569,843,274,0.481546573
91951,3,3,0,0
91962,56,67,11,0.196428571
91963,9,14,5,0.555555556
91976,2,2,0,0
