ZIP_CODE,Month,Hour,Sol Rad (Ly/day),Air Temp (F),Wind Speed (mph)
90002,4,900,960.967,60.497,3.233
90002,4,1000,1231.233,62.72,4.04
90002,4,1100,1465.967,63.733,5.167
90002,4,1200,1712.133,64.187,6.233
90002,4,1300,1759.233,64.753,6.72
90002,4,1400,1596.167,65.237,6.943
90002,4,1500,1311.767,65.453,6.807
90002,4,1600,952.733,65.73,6.173
90002,4,1700,568.7,65.023,5.713
90002,4,1800,184.2,63.01,4.31
90002,4,1900,9.8,59.54,2.877
90002,4,2000,0.0,57.447,2.38
90002,4,2100,0.0,55.897,2.06
90002,4,2200,0.0,54.523,1.763
90002,4,2300,0.0,53.513,1.74
90002,4,2400,0.0,53.03,1.723
90002,5,100,0.0,57.952,2.01
90002,5,200,0.0,57.965,2.039
90002,5,300,0.0,57.923,2.113
90002,5,400,0.0,57.642,2.135
90002,5,500,0.871,57.448,2.081
90002,5,600,46.839,57.6,1.887
90002,5,700,188.581,59.058,2.335
90002,5,800,373.968,60.558,2.877
90002,5,900,566.161,61.687,3.574
90002,5,1000,868.516,62.932,4.061
90002,5,1100,1260.677,64.123,5.013
90002,5,1200,1621.0,65.077,5.803
90002,5,1300,1801.968,66.074,6.126
90002,5,1400,1699.645,66.487,6.59
90002,5,1500,1467.871,66.445,6.723
90002,5,1600,1093.161,66.09,6.455
90002,5,1700,591.774,65.052,5.948
90002,5,1800,136.0,63.303,4.923
90002,5,1900,28.613,61.068,3.555
90002,5,2000,0.0,59.447,2.603
90002,5,2100,0.0,58.59,2.374
90002,5,2200,0.0,58.132,2.058
90002,5,2300,0.0,57.848,2.042
90002,5,2400,0.0,57.9,1.797
90002,6,100,0.0,61.267,1.88
90002,6,200,0.0,61.403,1.84
90002,6,300,0.0,61.34,1.743
90002,6,400,0.0,61.277,1.663
90002,6,500,2.333,61.3,1.8
90002,6,600,69.167,61.933,1.913
90002,6,700,237.5,63.64,2.437
90002,6,800,484.2,65.457,2.847
90002,6,900,835.767,67.303,3.66
90002,6,1000,1128.467,68.59,4.523
90002,6,1100,1434.867,69.377,5.37
90002,6,1200,1700.167,70.27,5.753
90002,6,1300,1849.067,71.02,6.18
90002,6,1400,1780.467,71.767,6.487
90002,6,1500,1548.333,72.71,6.31
90002,6,1600,1201.433,72.963,6.007
90002,6,1700,617.767,71.917,5.317
90002,6,1800,99.867,69.96,4.487
90002,6,1900,40.833,67.6,3.397
90002,6,2000,1.333,65.123,2.677
90002,6,2100,0.0,63.623,2.303
90002,6,2200,0.0,62.58,2.063
90002,6,2300,0.0,61.847,1.977
90002,6,2400,0.0,61.477,1.827
90002,7,100,0.0,63.8,1.587
90002,7,200,0.0,63.377,1.448
90002,7,300,0.0,63.148,1.384
90002,7,400,0.0,63.019,1.429
90002,7,500,1.194,62.797,1.419
90002,7,600,56.677,63.277,1.597
90002,7,700,265.71,65.471,2.135
90002,7,800,566.129,68.032,2.597
90002,7,900,1003.903,71.132,3.342
