 Substation Name, Nominal Voltage (kV), Redacted Data, Residential Customer Count, Commercial Customer Count, Industrial Customer Count, Agricultural Customer Count, Other Customers, Existing Distributed Generation (kW), Queued Distributed Generation (kW), Total Distributed Generation (kW),OBJECTID,feederid,feeder_name,division,last_update_on_map
LOW GAP,12kV,Yes,617,96,13,8,0,5110,10,5120,113,192411101,LOW GAP 1101,Humboldt,6/2/2025 1:21:05 AM
LOS ALTOS,12kV,No,2551,96,94,0,3,200,10,210,114,082241107,LOS ALTOS 1107,De Anza,6/2/2025 1:21:05 AM
LAKEWOOD,21kV,No,4085,112,12,2,8,9150,640,9790,115,013532110,LAKEWOOD 2110,Diablo,6/2/2025 1:21:05 AM
ESQUON,12kV,Yes,89,35,10,153,3,1800,1450,3250,116,102171101,ESQUON 1101,North Valley,6/2/2025 1:21:05 AM
BAY MEADOWS,21kV,No,570,39,40,0,6,1010,310,1320,117,024012106,BAY MEADOWS 2106,Peninsula,6/2/2025 1:21:05 AM
DEL MONTE,21kV,No,3609,748,204,0,47,4370,1070,5440,118,182222103,DEL MONTE 2103,Central Coast,6/2/2025 1:21:05 AM
KERN POWER,21kV,Yes,1012,66,96,3,14,1750,60,1810,119,255262102,KERN POWER 2102,Kern,6/2/2025 1:21:05 AM
RICHMOND R,12kV,Yes,3089,218,64,0,18,2520,240,2760,120,013471126,RICHMOND R 1126,East Bay,6/2/2025 1:21:05 AM
CAYUCOS,12kV,No,3829,161,26,48,8,3010,280,3290,121,182551102,CAYUCOS 1102,Los Padres,6/2/2025 1:21:05 AM
SAN JOAQUIN,12kV,No,534,71,8,71,2,3520,20,3540,122,252361106,SAN JOAQUIN 1106,Fresno,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,No,2,21,28,0,0,0,0,0,123,022801113,LARKIN (Y) 1113,San Francisco,6/2/2025 1:21:05 AM
SEMITROPIC,12kV,Yes,43,32,2,134,1,3340,21660,25000,124,254201106,GOOSE LAKE 1106,Kern,6/2/2025 1:21:05 AM
KERN OIL,12kV,No,1599,209,132,1,7,4570,210,4780,125,252721116,KERN OIL 1116,Kern,6/2/2025 1:21:05 AM
HIGGINS,12kV,No,2656,185,14,19,6,5120,500,5620,126,152691103,HIGGINS 1103,Sierra,6/2/2025 1:21:05 AM
GARBERVILLE,12kV,No,740,204,26,30,14,250,50,300,127,192221101,GARBERVILLE 1101,Humboldt,6/2/2025 1:21:05 AM
CASSIDY,21kV,No,4403,273,64,68,28,16230,1060,17290,128,254272108,CASSIDY 2108,Yosemite,6/2/2025 1:21:05 AM
KERMAN,12kV,No,2140,288,108,220,12,5380,1580,6960,129,252711103,KERMAN 1103,Fresno,6/2/2025 1:21:05 AM
HUNTERS POINT (P),12kV,No,3082,503,157,2,41,1600,500,2100,130,022331102,HUNTERS POINT (P) 1102,San Francisco,6/2/2025 1:21:05 AM
SAN LUIS OBISPO,12kV,No,3339,706,223,2,10,2580,1380,3960,131,182631108,SAN LUIS OBISPO 1108,Los Padres,6/2/2025 1:21:05 AM
EEL RIVER,12kV,Yes,1153,182,37,258,7,980,110,1090,132,192381102,EEL RIVER 1102,Humboldt,6/2/2025 1:21:05 AM
GIRVAN,12kV,No,1184,215,64,12,1,3290,210,3500,133,103401102,GIRVAN 1102,North Valley,6/2/2025 1:21:05 AM
