 Substation Name, Nominal Voltage (kV), Redacted Data, Residential Customer Count, Commercial Customer Count, Industrial Customer Count, Agricultural Customer Count, Other Customers, Existing Distributed Generation (kW), Queued Distributed Generation (kW), Total Distributed Generation (kW),OBJECTID,feederid,feeder_name,division,last_update_on_map
MC MULLIN,12kV,Yes,75,32,5,156,1,4620,3740,8360,1713,254411105,MC MULLIN 1105,Fresno,6/2/2025 1:21:05 AM
BURNEY,12kV,Yes,580,128,23,1,4,690,120,810,1714,103311102,BURNEY 1102,North Valley,6/2/2025 1:21:05 AM
OLD RIVER,12kV,Yes,15,20,10,124,4,8880,1950,10830,1715,252821103,OLD RIVER 1103,Kern,6/2/2025 1:21:05 AM
SAN JOSE A,12kV,No,4364,273,93,0,17,1820,350,2170,1716,082251110,SAN JOSE A 1110,San Jose,6/2/2025 1:21:05 AM
ASHLAN AVE,21kV,No,1935,74,21,0,2,2220,70,2290,1717,252052117,ASHLAN AVE 2117,Fresno,6/2/2025 1:21:05 AM
MOUNTAIN VIEW,12kV,No,5129,217,76,0,14,1800,390,2190,1718,082031105,MOUNTAIN VIEW 1105,De Anza,6/2/2025 1:21:05 AM
CARRIZO PLAINS,12kV,No,256,43,4,28,1,280,0,280,1719,253461101,CARRIZO PLAINS 1101,Los Padres,6/2/2025 1:21:05 AM
SMYRNA,12kV,Yes,27,13,0,109,0,2970,610,3580,1720,253551105,SMYRNA 1105,Kern,6/2/2025 1:21:05 AM
PORTOLA,4.16kV,Yes,1193,7,0,0,3,860,70,930,1721,022610401,PORTOLA 0401,San Francisco,6/2/2025 1:21:05 AM
VASONA,12kV,Yes,1831,178,64,0,2,2340,270,2610,1722,083771108,VASONA 1108,De Anza,6/2/2025 1:21:05 AM
AIRWAYS,12kV,No,2453,78,4,1,3,11960,470,12430,1723,252041101,AIRWAYS 1101,Fresno,6/2/2025 1:21:05 AM
OROSI,12kV,No,1425,97,24,319,3,1700,100,1800,1724,252841101,OROSI 1101,Fresno,6/2/2025 1:21:05 AM
SHADY GLEN,12kV,No,1454,254,67,0,5,2220,490,2710,1725,152431101,SHADY GLEN 1101,Sierra,6/2/2025 1:21:05 AM
FRUITVALE,12kV,Yes,47,161,62,0,12,50,1630,1680,1726,253391108,FRUITVALE 1108,Kern,6/2/2025 1:21:05 AM
BEN LOMOND,12kV,No,715,29,2,0,1,710,60,770,1727,083041101,BEN LOMOND 1101,Central Coast,6/2/2025 1:21:05 AM
IGNACIO,12kV,No,706,1007,133,2,2,5630,120,5750,1728,042481102,IGNACIO 1102,Sonoma,6/2/2025 1:21:05 AM
EL NIDO,12kV,Yes,58,25,6,233,7,5420,50,5470,1729,252451102,EL NIDO 1102,Yosemite,6/2/2025 1:21:05 AM
RALSTON,12kV,No,2174,88,24,0,18,3430,300,3730,1730,024141102,RALSTON 1102,Peninsula,6/2/2025 1:21:05 AM
EVERGREEN,21kV,No,1916,159,89,0,10,1930,140,2070,1731,082012104,EVERGREEN 2104,San Jose,6/2/2025 1:21:05 AM
SULLIVAN,4.16kV,No,528,20,4,0,0,210,90,300,1732,022850402,SULLIVAN 0402,Peninsula,6/2/2025 1:21:05 AM
WOODLAND,12kV,No,2330,89,15,2,7,4240,330,4570,1733,062031112,WOODLAND 1112,Sacramento,6/2/2025 1:21:05 AM
CLARKSVILLE,21kV,No,3138,93,21,0,11,13250,280,13530,1734,153612106,CLARKSVILLE 2106,Sierra,6/2/2025 1:21:05 AM
PANORAMA,12kV,No,1369,125,18,7,2,2620,140,2760,1735,103461101,PANORAMA 1101,North Valley,6/2/2025 1:21:05 AM
OLIVEHURST,12kV,No,1586,71,22,22,0,6780,6100,12880,1736,152901101,OLIVEHURST 1101,Sacramento,6/2/2025 1:21:05 AM
WILLOW PASS,21kV,No,7028,185,44,1,35,9090,1220,10310,1737,013912108,WILLOW PASS 2108,Diablo,6/2/2025 1:21:05 AM
SAN JOSE A,4.16kV,No,222,52,12,0,5,50,0,50,1738,082250404,SAN JOSE A 0404,San Jose,6/2/2025 1:21:05 AM
MC CALL,12kV,No,2831,256,63,21,7,5540,1210,6750,1739,254121104,MC CALL 1104,Fresno,6/2/2025 1:21:05 AM
ARCATA,12kV,Yes,2396,301,79,5,2,2180,9840,12020,1740,192021121,ARCATA 1121,Humboldt,6/2/2025 1:21:05 AM
SF H,4.16kV,No,183,36,4,0,0,100,10,110,1741,022100403,SF H 0403,Peninsula,6/2/2025 1:21:05 AM
DUMBARTON,12kV,No,2773,216,71,0,17,1790,670,2460,1742,014471104,DUMBARTON 1104,Mission,6/2/2025 1:21:05 AM
PINEDALE,21kV,No,1225,272,100,0,4,2880,560,3440,1743,252852103,PINEDALE 2103,Fresno,6/2/2025 1:21:05 AM
PINEDALE,21kV,No,2375,198,183,0,19,2690,210,2900,1744,252852110,PINEDALE 2110,Fresno,6/2/2025 1:21:05 AM
PETALUMA C,12kV,Yes,2,132,21,0,6,60,0,60,1745,042631110,PETALUMA C 1110,Sonoma,6/2/2025 1:21:05 AM
BELMONT,12kV,Yes,4579,289,90,0,10,5030,1950,6980,1746,024031102,BELMONT 1102,Peninsula,6/2/2025 1:21:05 AM
RESEARCH,21kV,No,3754,621,205,1,27,8200,1420,9620,1747,014692102,RESEARCH 2102,Diablo,6/2/2025 1:21:05 AM
EMBARCADERO (Z),12kV,Yes,2018,12,35,0,1,0,0,0,1748,022871117,EMBARCADERO (Z) 1117,San Francisco,6/2/2025 1:21:05 AM
FAMOSO,12kV,Yes,3,12,7,15,2,6960,1650,8610,1749,252461105,FAMOSO 1105,Kern,6/2/2025 1:21:05 AM
SOBRANTE,12kV,No,1828,281,86,0,31,3680,570,4250,1750,014671101,SOBRANTE 1101,Diablo,6/2/2025 1:21:05 AM
BAKERSFIELD,12kV,No,2711,231,68,0,9,1110,170,1280,1751,253371118,BAKERSFIELD 1118,Kern,6/2/2025 1:21:05 AM
STOCKTON A,12kV,No,756,104,56,0,24,870,100,970,1752,162371108,STOCKTON A 1108,Stockton,6/2/2025 1:21:05 AM
BARRETT,4.16kV,No,1540,50,4,0,2,510,30,540,1753,013020402,BARRETT 0402,East Bay,6/2/2025 1:21:05 AM
OLETA,12kV,No,845,147,30,108,3,2730,400,3130,1754,163541102,OLETA 1102,Stockton,6/2/2025 1:21:05 AM
NEWMAN,12kV,No,1533,99,17,94,2,5690,220,5910,1755,162741105,NEWMAN 1105,Yosemite,6/2/2025 1:21:05 AM
CLOVIS,12kV,Yes,1052,99,40,46,3,4080,180,4260,1756,254081102,CLOVIS 1102,Fresno,6/2/2025 1:21:05 AM
PARADISE,12kV,No,1886,254,50,3,10,5990,380,6370,1757,102831103,PARADISE 1103,North Valley,6/2/2025 1:21:05 AM
DAVIS,12kV,No,534,88,70,0,10,3310,10,3320,1758,062041110,DAVIS 1110,Sacramento,6/2/2025 1:21:05 AM
MANTECA,17kV,Yes,3968,185,76,1,14,9610,390,10000,1759,162611708,MANTECA 1708,Stockton,6/2/2025 1:21:05 AM
SF L,12kV,No,1054,190,20,0,6,420,20,440,1760,022261101,SF L 1101,San Francisco,6/2/2025 1:21:05 AM
WEST POINT,12kV,No,1731,52,4,2,1,850,140,990,1761,163201101,WEST POINT 1101,Stockton,6/2/2025 1:21:05 AM
TASSAJARA,21kV,No,2781,124,17,1,5,3860,200,4060,1762,014662106,TASSAJARA 2106,Diablo,6/2/2025 1:21:05 AM
HUNTERS POINT (P),12kV,Yes,286,37,16,0,6,20,10,30,1763,022331104,HUNTERS POINT (P) 1104,San Francisco,6/2/2025 1:21:05 AM
SAN JOSE B,12kV,No,2212,138,94,0,22,100,920,1020,1764,082261102,SAN JOSE B 1102,San Jose,6/2/2025 1:21:05 AM
EDES,12kV,Yes,1298,126,88,0,13,460,1070,1530,1765,013681114,EDES 1114,East Bay,6/2/2025 1:21:05 AM
IONE,12kV,Yes,975,46,13,13,1,5530,170,5700,1766,163881101,IONE 1101,Stockton,6/2/2025 1:21:05 AM
REDWOOD CITY,12kV,No,2389,228,159,0,20,1050,940,1990,1767,024161103,REDWOOD CITY 1103,Peninsula,6/2/2025 1:21:05 AM
EMBARCADERO (Z),34.5kV,No,0,37,50,0,14,960,0,960,1768,022873410,EMBARCADERO (Z) 3410,San Francisco,6/2/2025 1:21:05 AM
MADERA,12kV,No,2247,185,141,4,10,5920,1690,7610,1769,252761118,MADERA 1118,Yosemite,6/2/2025 1:21:05 AM
HENRIETTA,12kV,Yes,196,22,5,282,10,2880,450,3330,1770,252681110,HENRIETTA 1110,Fresno,6/2/2025 1:21:05 AM
CARQUINEZ,12kV,Yes,25,16,2,0,0,0,0,0,1771,043281104,CARQUINEZ 1104,North Bay,6/2/2025 1:21:05 AM
MC CALL,12kV,No,598,99,42,380,15,4530,510,5040,1772,254121106,MC CALL 1106,Fresno,6/2/2025 1:21:05 AM
BOWLES,12kV,No,323,41,5,165,3,1230,140,1370,1773,253531102,BOWLES 1102,Fresno,6/2/2025 1:21:05 AM
SF K,4.16kV,No,1601,31,5,0,4,210,20,230,1774,022130402,SF K 0402,San Francisco,6/2/2025 1:21:05 AM
WILLOW CREEK,12kV,No,682,69,16,20,1,550,40,590,1775,192171101,WILLOW CREEK 1101,Humboldt,6/2/2025 1:21:05 AM
MOSHER,21kV,No,3287,105,74,0,5,3450,330,3780,1776,163722104,MOSHER 2104,Stockton,6/2/2025 1:21:05 AM
GONZALES,12kV,No,352,64,11,154,7,2660,1060,3720,1777,182131104,GONZALES 1104,Central Coast,6/2/2025 1:21:05 AM
TAFT,12kV,No,1411,93,28,0,5,5550,20,5570,1778,252081103,TAFT 1103,Kern,6/2/2025 1:21:05 AM
MORGAN HILL,21kV,No,1792,458,172,53,9,4030,980,5010,1779,083242110,MORGAN HILL 2110,San Jose,6/2/2025 1:21:05 AM
ALMADEN,12kV,No,3910,146,68,0,15,4460,2090,6550,1780,082311111,ALMADEN 1111,San Jose,6/2/2025 1:21:05 AM
COUNTRY CLUB,12kV,No,1679,93,40,0,3,1000,60,1060,1781,163121103,COUNTRY CLUB 1103,Stockton,6/2/2025 1:21:05 AM
OAKLAND D,12kV,Yes,1843,122,24,0,8,170,640,810,1782,012041107,OAKLAND D 1107,East Bay,6/2/2025 1:21:05 AM
STROUD,12kV,Yes,28,20,2,95,0,2150,0,2150,1783,253661104,STROUD 1104,Fresno,6/2/2025 1:21:05 AM
MISSION (X),4.16kV,No,1254,160,36,0,11,110,0,110,1784,022010402,MISSION (X) 0402,San Francisco,6/2/2025 1:21:05 AM
OAKLAND D,12kV,Yes,241,14,19,0,3,20,0,20,1785,012041117,OAKLAND D 1117,East Bay,6/2/2025 1:21:05 AM
GREEN VALLEY,21kV,No,5304,727,218,132,29,7660,3680,11340,1786,083192103,GREEN VALLEY 2103,Central Coast,6/2/2025 1:21:05 AM
OAKLAND L,12kV,No,4925,439,126,0,16,1130,40,1170,1787,012111108,OAKLAND L 1108,East Bay,6/2/2025 1:21:05 AM
EDENVALE,21kV,No,5533,233,87,63,34,8240,1230,9470,1788,082952105,EDENVALE 2105,San Jose,6/2/2025 1:21:05 AM
KING CITY,12kV,Yes,143,56,20,112,5,5060,4380,9440,1789,182031106,KING CITY 1106,Central Coast,6/2/2025 1:21:05 AM
SHAFTER,12kV,Yes,61,35,10,116,6,9050,13480,22530,1790,253651103,SHAFTER 1103,Kern,6/2/2025 1:21:05 AM
NEWARK 21KV,20.78kV,No,1922,505,286,1,12,7490,330,7820,1791,012232105,NEWARK 21KV 2105,Mission,10/1/2025 11:34:23 AM
ORICK,12kV,No,177,67,13,3,2,40,0,40,1792,192261102,ORICK 1102,Humboldt,6/2/2025 1:21:05 AM
HARTLEY,12kV,No,1603,122,13,11,5,3690,14180,17870,1793,043211102,HARTLEY 1102,Humboldt,6/2/2025 1:21:05 AM
OAKLAND C,12kV,Yes,242,94,41,0,3,440,0,440,1794,012011117,OAKLAND C 1117,East Bay,6/2/2025 1:21:05 AM
RENFRO,21kV,No,2113,76,36,2,11,10170,1250,11420,1795,254572102,RENFRO 2102,Kern,6/2/2025 1:21:05 AM
CASTRO VALLEY,12kV,No,4544,296,84,0,25,2110,60,2170,1796,014091103,CASTRO VALLEY 1103,Mission,6/2/2025 1:21:05 AM
WALDO,4.16kV,No,738,50,4,0,2,680,60,740,1797,013350402,WALDO 0402,East Bay,6/2/2025 1:21:05 AM
MAXWELL,12kV,Yes,590,146,21,90,6,3210,110,3320,1798,062881105,MAXWELL 1105,Sacramento,6/2/2025 1:21:05 AM
SAN BERNARD,12kV,Yes,10,13,4,81,1,20,11050,11070,1799,253191101,SAN BERNARD 1101,Kern,6/2/2025 1:21:05 AM
SUISUN,12kV,No,3013,142,59,0,5,4560,300,4860,1800,062131104,SUISUN 1104,North Bay,6/2/2025 1:21:05 AM
PEORIA,17kV,Yes,1271,231,28,3,28,2090,370,2460,1801,163781705,PEORIA 1705,Yosemite,6/2/2025 1:21:05 AM
FRENCH CAMP,12kV,Yes,1,3,8,1,0,0,220,220,1802,163291103,FRENCH CAMP 1103,Stockton,6/2/2025 1:21:05 AM
VINA,12kV,Yes,355,71,11,104,3,2000,4220,6220,1803,103581101,VINA 1101,North Valley,6/2/2025 1:21:05 AM
ATWATER,12kV,No,2253,52,17,10,3,4930,660,5590,1804,253611104,ATWATER 1104,Yosemite,6/2/2025 1:21:05 AM
SAN JOSE B,12kV,Yes,918,70,48,0,7,810,560,1370,1805,082261115,SAN JOSE B 1115,San Jose,6/2/2025 1:21:05 AM
WYANDOTTE,12kV,Yes,2695,246,101,1,6,3450,4060,7510,1806,102911102,WYANDOTTE 1102,North Valley,6/2/2025 1:21:05 AM
KING CITY,12kV,Yes,1366,255,39,0,3,890,50,940,1807,182031101,KING CITY 1101,Central Coast,6/2/2025 1:21:05 AM
PUEBLO,12kV,No,1629,81,76,1,5,2490,180,2670,1808,043291103,PUEBLO 1103,North Bay,6/2/2025 1:21:05 AM
BELMONT,12kV,Yes,125,17,12,0,2,20,700,720,1809,024031108,BELMONT 1108,Peninsula,6/2/2025 1:21:05 AM
STONE CORRAL,12kV,No,391,50,4,337,2,910,1060,1970,1810,252921110,STONE CORRAL 1110,Fresno,6/2/2025 1:21:05 AM
OAKLAND L,12kV,Yes,631,35,9,0,3,4710,0,4710,1811,012111107,OAKLAND L 1107,East Bay,6/2/2025 1:21:05 AM
BARTON,12kV,Yes,771,422,120,0,6,2960,3660,6620,1812,253571109,BARTON 1109,Fresno,6/2/2025 1:21:05 AM
STOCKTON A,12kV,No,1788,290,86,0,12,1550,340,1890,1813,162371109,STOCKTON A 1109,Stockton,6/2/2025 1:21:05 AM
STOREY,12kV,No,1556,261,88,130,10,8170,1850,10020,1814,254611104,STOREY 1104,Yosemite,6/2/2025 1:21:05 AM
MISSION (X),12kV,Yes,142,0,7,0,1,0,0,0,1815,022011101,MISSION (X) 1101,San Francisco,6/2/2025 1:21:05 AM
LLAGAS,21kV,No,4133,478,164,1,16,4350,100,4450,1816,083182102,LLAGAS 2102,San Jose,6/2/2025 1:21:05 AM
SANTA YNEZ,12kV,Yes,1494,368,62,204,6,3380,210,3590,1817,182721104,SANTA YNEZ 1104,Los Padres,6/2/2025 1:21:05 AM
BULLARD,12kV,No,1490,73,24,0,1,2940,140,3080,1818,253961103,BULLARD 1103,Fresno,6/2/2025 1:21:05 AM
WHISMAN,12kV,Yes,546,3,8,0,2,2370,0,2370,1819,083631109,WHISMAN 1109,De Anza,6/2/2025 1:21:05 AM
ASHLAN AVE,12kV,No,2050,252,49,0,16,1850,90,1940,1820,252051106,ASHLAN AVE 1106,Fresno,6/2/2025 1:21:05 AM
CAMP EVERS,21kV,No,3147,176,49,5,30,6690,670,7360,1821,083622103,CAMP EVERS 2103,Central Coast,6/2/2025 1:21:05 AM
LLAGAS,21kV,No,187,199,171,77,8,4780,5890,10670,1822,083182106,LLAGAS 2106,San Jose,6/2/2025 1:21:05 AM
RED BLUFF,12kV,No,1517,91,14,12,2,3570,15160,18730,1823,103541101,RED BLUFF 1101,North Valley,6/2/2025 1:21:05 AM
GUERNSEY,12kV,Yes,59,13,4,103,2,9130,3340,12470,1824,252661101,GUERNSEY 1101,Fresno,6/2/2025 1:21:05 AM
LOS GATOS,12kV,No,2024,130,62,1,11,5070,1910,6980,1825,082021101,LOS GATOS 1101,De Anza,6/2/2025 1:21:05 AM
TAFT,12kV,No,392,76,9,0,0,430,17830,18260,1826,252081108,TAFT 1108,Kern,6/2/2025 1:21:05 AM
EL DORADO PH,21kV,No,3675,202,49,0,17,2330,210,2540,1827,152762101,EL DORADO PH 2101,Sierra,6/2/2025 1:21:05 AM
CONTRA COSTA,21kV,No,3326,130,58,0,10,6620,200,6820,1828,013652114,CONTRA COSTA 2114,Diablo,6/2/2025 1:21:05 AM
BUELLTON,12kV,No,1498,417,80,47,,3219,3319,6538,1829,183041102,BUELLTON 1102,Los Padres,11/3/2025 11:44:12 AM
CAYUCOS,12kV,No,597,146,13,61,3,500,150,650,1830,182551101,CAYUCOS 1101,Los Padres,6/2/2025 1:21:05 AM
MC CALL,12kV,Yes,1404,113,13,461,2,7520,260,7780,1831,254121101,MC CALL 1101,Fresno,6/2/2025 1:21:05 AM
SAN ARDO,12kV,Yes,44,30,4,67,1,80,410,490,1832,182191101,SAN ARDO 1101,Central Coast,6/2/2025 1:21:05 AM
CLARKSVILLE,21kV,No,4453,150,120,0,13,16580,960,17540,1833,153612105,CLARKSVILLE 2105,Sierra,6/2/2025 1:21:05 AM
BIG BASIN,12kV,Yes,1515,171,13,1,3,1320,190,1510,1834,082841102,BIG BASIN 1102,Central Coast,6/2/2025 1:21:05 AM
EL CERRITO G,12kV,No,1556,211,47,0,6,1130,140,1270,1835,012501110,EL CERRITO G 1110,East Bay,6/2/2025 1:21:05 AM
STOCKDALE,12kV,No,1683,267,133,1,5,5550,970,6520,1836,254071105,STOCKDALE 1105,Kern,6/2/2025 1:21:05 AM
ALPAUGH,12kV,Yes,18,12,1,86,0,670,4500,5170,1837,254001103,ALPAUGH 1103,Fresno,6/2/2025 1:21:05 AM
VALLEY HOME,17kV,No,243,42,1,178,0,3960,660,4620,1838,162981704,VALLEY HOME 1704,Yosemite,6/2/2025 1:21:05 AM
FORT SEWARD,12kV,Yes,189,36,2,4,0,20,0,20,1839,192321121,FORT SEWARD 1121,Humboldt,6/2/2025 1:21:05 AM
BIOLA,12kV,Yes,29,12,0,107,3,2280,50,2330,1840,252211102,BIOLA 1102,Fresno,6/2/2025 1:21:05 AM
IGNACIO,12kV,No,1813,132,44,0,6,1900,120,2020,1841,042481103,IGNACIO 1103,Sonoma,6/2/2025 1:21:05 AM
CALISTOGA,12kV,No,1729,333,95,83,7,4930,22390,27320,1842,042711102,CALISTOGA 1102,North Bay,6/2/2025 1:21:05 AM
WHEATLAND,12kV,No,801,116,17,229,2,2360,15500,17860,1843,152811104,WHEATLAND 1104,Sacramento,6/2/2025 1:21:05 AM
SF K,4.16kV,No,1449,91,10,0,4,130,10,140,1844,022130405,SF K 0405,San Francisco,6/2/2025 1:21:05 AM
WOLFE,12kV,No,1844,72,30,0,5,2740,90,2830,1845,083671106,WOLFE 1106,De Anza,6/2/2025 1:21:05 AM
RACETRACK,17kV,No,641,39,4,9,1,1040,120,1160,1846,163761704,RACETRACK 1704,Yosemite,6/2/2025 1:21:05 AM
AUBURN,12kV,No,1201,158,25,0,4,1000,140,1140,1847,152161102,AUBURN 1102,Sierra,6/2/2025 1:21:05 AM
PEABODY,21kV,Yes,2916,46,11,1,5,8700,8090,16790,1848,063642106,PEABODY 2106,North Bay,6/2/2025 1:21:05 AM
COLUSA JUNCTION,12kV,Yes,821,99,35,58,1,5750,8800,14550,1849,062071101,COLUSA JUNCTION 1101,Sacramento,6/2/2025 1:21:05 AM
WATERLOO,12kV,Yes,465,80,14,249,2,2270,240,2510,1850,163151101,WATERLOO 1101,Stockton,6/2/2025 1:21:05 AM
SARATOGA,12kV,No,4637,253,115,0,11,4160,450,4610,1851,083371110,SARATOGA 1110,De Anza,6/2/2025 1:21:05 AM
FMC,12kV,No,563,53,60,0,8,270,10,280,1852,083871108,FMC 1108,San Jose,6/2/2025 1:21:05 AM
PAUL SWEET,21kV,No,5273,291,61,0,17,6870,250,7120,1853,083252109,PAUL SWEET 2109,Central Coast,6/2/2025 1:21:05 AM
RICE,12kV,Yes,79,31,10,129,2,1150,890,2040,1854,062831101,RICE 1101,Sacramento,6/2/2025 1:21:05 AM
HILLSDALE,4.16kV,No,683,25,3,0,0,260,0,260,1855,024110403,HILLSDALE 0403,Peninsula,6/2/2025 1:21:05 AM
COLUMBIA HILL,12kV,No,1027,123,13,13,0,1190,110,1300,1856,152471101,COLUMBIA HILL 1101,Sierra,6/2/2025 1:21:05 AM
OAKLAND J,12kV,Yes,4378,129,29,0,,1566,1735,3301,1857,012091118,OAKLAND J 1118,East Bay,10/1/2025 7:51:53 AM
SAN BENITO,21kV,Yes,109,15,3,35,0,190,30,220,1858,182742102,SAN BENITO 2102,Central Coast,6/2/2025 1:21:05 AM
MONTAGUE,21kV,Yes,337,62,77,0,2,5230,10,5240,1859,083892109,MONTAGUE 2109,San Jose,6/2/2025 1:21:05 AM
STELLING,12kV,No,3552,237,49,5,5,4980,580,5560,1860,083481110,STELLING 1110,De Anza,6/2/2025 1:21:05 AM
LAWRENCE,12kV,No,5357,158,70,0,16,1670,380,2050,1861,083421112,LAWRENCE 1112,De Anza,6/2/2025 1:21:05 AM
MISSION (X),12kV,Yes,6070,187,62,0,32,3350,2460,5810,1862,022011116,MISSION (X) 1116,San Francisco,6/2/2025 1:21:05 AM
HIGGINS,12kV,No,1364,41,6,2,0,3420,310,3730,1863,152691110,HIGGINS 1110,Sierra,6/2/2025 1:21:05 AM
STROUD,12kV,Yes,48,28,7,68,9,2290,530,2820,1864,253661102,STROUD 1102,Fresno,6/2/2025 1:21:05 AM
DIXON,12kV,No,788,185,21,284,4,3070,640,3710,1865,062061103,DIXON 1103,North Bay,6/2/2025 1:21:05 AM
SUISUN,12kV,No,2781,284,56,0,9,4560,1010,5570,1866,062131109,SUISUN 1109,North Bay,6/2/2025 1:21:05 AM
BASALT,12kV,No,2875,216,61,147,18,4950,2390,7340,1867,042461106,BASALT 1106,North Bay,6/2/2025 1:21:05 AM
PETALUMA C,12kV,No,3261,333,168,0,15,3320,430,3750,1868,042631106,PETALUMA C 1106,Sonoma,6/2/2025 1:21:05 AM
HUMBOLDT BAY,12kV,Yes,925,96,24,0,26,360,3090,3450,1869,192341101,HUMBOLDT BAY 1101,Humboldt,6/2/2025 1:21:05 AM
CUYAMA,12kV,Yes,19,7,1,17,1,300,0,300,1870,253141104,CUYAMA 1104,Kern,6/2/2025 1:21:05 AM
WESTPARK,12kV,No,2420,252,67,0,14,3110,210,3320,1871,253701108,WESTPARK 1108,Kern,6/2/2025 1:21:05 AM
VIEJO,21kV,Yes,1686,74,12,0,7,1910,2330,4240,1872,182852201,VIEJO 2201,Central Coast,6/2/2025 1:21:05 AM
NORTECH,21kV,Yes,2,21,27,0,9,900,0,900,1873,082462109,NORTECH 2109,San Jose,6/2/2025 1:21:05 AM
DUMBARTON,12kV,No,2972,232,135,0,18,3330,1530,4860,1874,014471109,DUMBARTON 1109,Mission,6/2/2025 1:21:05 AM
SF G,4.16kV,No,2274,74,13,0,6,150,0,150,1875,022090407,SF G 0407,San Francisco,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,No,2,24,27,0,2,0,0,0,1876,022801133,LARKIN (Y) 1133,San Francisco,6/2/2025 1:21:05 AM
STOCKTON A,12kV,No,1895,274,71,0,18,1060,50,1110,1877,162371104,STOCKTON A 1104,Stockton,6/2/2025 1:21:05 AM
EUREKA E,12kV,No,2076,110,33,0,1,570,30,600,1878,192331101,EUREKA E 1101,Humboldt,6/2/2025 1:21:05 AM
EIGHT MILE,21kV,No,2375,164,66,49,20,7600,450,8050,1879,163912102,EIGHT MILE 2102,Stockton,6/2/2025 1:21:05 AM
MARIPOSA,21kV,No,3549,268,28,10,3,4120,450,4570,1880,254452101,MARIPOSA 2101,Yosemite,6/2/2025 1:21:05 AM
WHISMAN,12kV,Yes,801,38,55,0,5,170,10,180,1881,083631103,WHISMAN 1103,De Anza,6/2/2025 1:21:05 AM
VACA DIXON,12kV,No,2243,213,93,0,9,2820,430,3250,1882,063591104,VACA DIXON 1104,North Bay,6/2/2025 1:21:05 AM
BERKELEY F,4.16kV,No,1211,87,17,0,5,950,170,1120,1883,012060404,BERKELEY F 0404,East Bay,6/2/2025 1:21:05 AM
STELLING,12kV,No,3799,151,27,0,12,9320,1550,10870,1884,083481108,STELLING 1108,De Anza,6/2/2025 1:21:05 AM
CAPAY,12kV,Yes,357,87,7,222,3,3980,2660,6640,1885,102111102,CAPAY 1102,North Valley,6/2/2025 1:21:05 AM
LONE TREE,21kV,No,3427,152,102,1,22,11230,450,11680,1886,013232101,LONE TREE 2101,Diablo,6/2/2025 1:21:05 AM
RICHMOND R,12kV,Yes,2413,186,61,4,21,3590,850,4440,1887,013471127,RICHMOND R 1127,East Bay,6/2/2025 1:21:05 AM
CRESSEY,21kV,Yes,620,118,13,441,2,6830,2260,9090,1888,254702103,CRESSEY 2103,Yosemite,6/2/2025 1:21:05 AM
WEEDPATCH,12kV,No,590,97,21,178,5,3980,21100,25080,1889,252971106,WEEDPATCH 1106,Kern,6/2/2025 1:21:05 AM
STOCKDALE,12kV,No,1375,66,53,0,24,3250,1250,4500,1890,254071110,STOCKDALE 1110,Kern,6/2/2025 1:21:05 AM
CORDELIA,12kV,No,1820,123,21,21,2,3510,220,3730,1891,062701112,CORDELIA 1112,North Bay,6/2/2025 1:21:05 AM
STOREY,12kV,No,2516,166,102,15,10,7000,1710,8710,1892,254611105,STOREY 1105,Yosemite,6/2/2025 1:21:05 AM
BRITTON,12kV,No,1490,71,67,0,10,730,310,1040,1893,083611114,BRITTON 1114,De Anza,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,No,4366,245,80,0,13,1330,330,1660,1894,022801135,LARKIN (Y) 1135,San Francisco,6/2/2025 1:21:05 AM
STUART,4.16kV,Yes,335,65,8,0,1,140,10,150,1895,013840402,STUART 0402,East Bay,6/2/2025 1:21:05 AM
PEACHTON,12kV,No,624,115,13,109,5,1740,270,2010,1896,103241101,PEACHTON 1101,North Valley,6/2/2025 1:21:05 AM
HICKS,21kV,No,4704,193,34,1,15,12620,980,13600,1897,083432105,HICKS 2105,San Jose,6/2/2025 1:21:05 AM
BERKELEY T,4.16kV,No,562,28,8,0,4,120,0,120,1898,012660403,BERKELEY T 0403,East Bay,6/2/2025 1:21:05 AM
CAL WATER,12kV,No,2388,61,40,1,20,10380,300,10680,1899,255451103,CAL WATER 1103,Kern,6/2/2025 1:21:05 AM
FIGARDEN,21kV,No,3588,96,72,4,5,10290,860,11150,1900,254552107,FIGARDEN 2107,Fresno,6/2/2025 1:21:05 AM
PITTSBURG,4.16kV,Yes,2,7,0,0,,0,0,0,1901,012160401,PITTSBURG 0401,Diablo,10/1/2025 11:34:21 AM
RIO BRAVO,12kV,Yes,0,5,18,1,3,450,8240,8690,1902,252861104,RIO BRAVO 1104,Kern,6/2/2025 1:21:05 AM
DIAMOND SPRINGS,12kV,No,1919,467,118,0,5,4930,350,5280,1903,152261103,DIAMOND SPRINGS 1103,Sierra,6/2/2025 1:21:05 AM
OAKLAND J,4.16kV,No,976,43,5,0,,218,229,447,1904,012090408,OAKLAND J 0408,East Bay,10/1/2025 7:51:53 AM
MARINA (F),12kV,Yes,1846,243,41,0,3,320,40,360,1905,022781103,MARINA (F) 1103,San Francisco,6/2/2025 1:21:05 AM
CANAL,12kV,No,2415,103,19,97,4,9330,4450,13780,1906,252091101,CANAL 1101,Yosemite,6/2/2025 1:21:05 AM
